Type;Dias
Alpha BugS;0
Alpha BugS;0
Alpha BugS;1
Alpha BugS;1
Alpha BugS;1
Alpha BugS;1
Alpha BugS;1
Alpha BugS;1
Alpha BugS;3
Alpha BugS;5
Alpha BugS;5
Alpha BugS;5
Alpha BugS;5
Alpha BugS;5
Alpha BugS;5
Alpha BugS;8
Alpha BugS;9
Alpha BugS;10
Alpha BugS;14
Alpha TestS;0
Alpha TestS;2
Alpha TestS;5
Alpha TestS;7
Alpha TestXS;9
Alpha TestM;15
Alpha TestS;16
Alpha TestXS;17
Alpha TestS;17
Backend DevelopmentS;0
Backend DevelopmentL;0
Backend DevelopmentM;0
Backend DevelopmentM;0
Backend DevelopmentM;0
Backend DevelopmentM;0
Backend DevelopmentM;0
Backend DevelopmentS;0
Backend DevelopmentS;0
Backend DevelopmentS;0
Backend DevelopmentM;2
Backend DevelopmentS;3
Backend DevelopmentS;4
Backend DevelopmentM;5
Backend DevelopmentS;6
Backend DevelopmentS;6
Backend DevelopmentS;7
Backend DevelopmentM;7
Backend DevelopmentS;7
Backend DevelopmentM;7
Backend DevelopmentS;8
Backend DevelopmentS;9
Backend DevelopmentS;9
Backend DevelopmentS;11
Backend DevelopmentS;12
Backend DevelopmentS;13
Backend DevelopmentS;15
Backend DevelopmentM;22
Feature PlanningXS;0
Feature PlanningS;0
Feature ReviewXS;0
Feature ReviewXS;0
Feature ReviewXS;4
Frontend DevelopmentM;0
Frontend DevelopmentXS;0
Frontend DevelopmentS;0
Frontend DevelopmentXS;3
Frontend DevelopmentS;3
Frontend DevelopmentS;3
Frontend DevelopmentS;3
Frontend DevelopmentM;4
Frontend DevelopmentXS;4
Frontend DevelopmentS;9
QAXS;0
QAXS;0
QAXS;0
QAXS;0
Tech PlanningL;0
Tech PlanningS;0
Tech PlanningL;0
Tech PlanningM;0
Tech PlanningS;1
Tech PlanningL;2
